image,xmin,ymin,xmax,ymax,label
cardboard1.jpg,1.681359243,2.603391486,508.0407177,384,cardboard
cardboard10.jpg,3.850850768,1.301695743,512,384,cardboard
cardboard100.jpg,8.189833819,8.244070279,510.6440678,384,cardboard
cardboard101.jpg,4.718650689,5.640678794,512,384,cardboard
cardboard102.jpg,6.454233978,4.772883011,501.0983183,383.1322166,cardboard
cardboard103.jpg,2.983050847,6.508474576,512,384,cardboard
cardboard104.jpg,4.718650689,1.735595703,512,384,cardboard
cardboard105.jpg,0.813559322,5.640678794,511.5118512,381.3966168,cardboard
cardboard106.jpg,4.718650689,6.508474576,509.3423596,384,cardboard
cardboard107.jpg,2.983050847,7.376270359,508.4745763,384,cardboard
cardboard108.jpg,5.152542373,9.111866062,506.7390095,382.6983249,cardboard
cardboard109.jpg,45.50508144,13.45084911,512,384,cardboard
cardboard11.jpg,6.888142214,3.905087229,510.6440678,384,cardboard
glass1.jpg,177.4101894,127.5661083,466.8203787,343.6474775,glass
glass10.jpg,16,240.3796676,512,384,glass
glass100.jpg,7.322033898,71.15932038,511.5118512,341.477986,glass
glass101.jpg,136.6237421,19.95932369,475.06442,384,glass
glass102.jpg,65.03050516,91.98644399,432.9762977,282.46779,glass
glass103.jpg,154.4135659,0.43389996,431.6745895,384,glass
glass104.jpg,2.983050847,23.86440678,478.5356197,236.0406846,glass
glass105.jpg,149.6406912,111.077976,414.3186573,382.2644002,glass
glass106.jpg,153.5457826,1.301695743,326.6711798,375.3220339,glass
glass107.jpg,171.3356065,4.338983051,445.559322,384,glass
glass108.jpg,123.1729012,81.57288632,369.193227,320.6508541,glass
glass109.jpg,114.4949186,3.037287308,506.3050847,348.8542439,glass
glass11.jpg,38.56271517,126.6983084,454.2372881,280.7322233,glass
glass110.jpg,92.36611163,65.08474576,391.7559256,381.3966168,glass
glass111.jpg,104.5152609,32.54237288,429.0711732,345.3830442,glass
glass112.jpg,55.91864738,177.0305052,486.779661,384,glass
glass113.jpg,39.4305151,105.0033931,472.8949285,269.4508408,glass
glass114.jpg,122.3050847,63.3491542,485.4779529,384,glass
glass115.jpg,187.8237222,90.68475238,322.3321968,233.0034097,glass
glass116.jpg,0,86.34576106,404.7729078,317.1796544,glass
glass117.jpg,82.38643737,43.82373047,512,331.9322034,glass
glass118.jpg,1.247467558,32.97627284,512,260.3389831,glass
glass119.jpg,72.8406879,3.471187268,354.8745697,384,glass
glass12.jpg,49.84406449,62.04746259,352.2711864,271.1864407,glass
glass120.jpg,235.5525358,95.45762712,512,384,glass
glass121.jpg,1.681359243,27.33559819,512,304.1627052,glass
glass122.jpg,1.247467558,4.772883011,345.7627119,372.284759,glass
glass123.jpg,45.07118975,5.206778833,455.5389963,268.5830575,glass
glass124.jpg,3.416959084,73.3288119,454.6712129,301.9932137,glass
glass125.jpg,21.20678297,114.5491592,512,332.3660951,glass
glass126.jpg,145.3017082,4.338983051,512,384,glass
glass127.jpg,211.2542373,105.8711931,342.2915453,253.8305085,glass
glass128.jpg,39.86440678,53.36949649,512,292.8813559,glass
glass129.jpg,162.2237487,1.735595703,512,384,glass
glass13.jpg,61.99323027,60.31186275,329.2745961,361.8711931,glass
glass130.jpg,137.9254171,68.55593717,512,303.7288136,glass
glass131.jpg,129.247451,0.43389996,436.4474974,318.4813626,glass
glass132.jpg,166.1288069,113.2474676,334.9152542,280.7322233,glass
glass133.jpg,158.752549,37.31525589,505.0033766,384,glass
glass134.jpg,134.8881422,146.2237321,512,384,glass
glass135.jpg,75.87796279,66.82033733,420.8271319,276.3932402,glass
glass136.jpg,194.3321968,68.12203721,377.0034097,381.3966168,glass
glass137.jpg,1.247467558,92.42033567,400.8677834,330.6305283,glass
glass138.jpg,56.35253906,61.17966267,395.6610169,384,glass
glass139.jpg,26.84745763,23.43050682,492.854277,375.7559256,glass
glass14.jpg,168.7322233,122.3593253,354.8745697,261.2067995,glass
glass140.jpg,118.8339182,97.19322696,368.7593353,273.3559322,glass
glass141.jpg,0,2.603391486,323.2000132,364.4745763,glass
glass142.jpg,64.1627218,4.338983051,446.4271054,384,glass
glass143.jpg,1.247467558,82.87457793,512,374.8881422,glass
glass144.jpg,128.3796676,49.46440512,378.7389764,331.06442,glass
glass145.jpg,0.379667638,81.57288632,512,370.1152675,glass
glass146.jpg,173.0712063,0.867795783,392.6237421,384,glass
glass147.jpg,115.3627185,62.48135428,345.3288202,227.3627185,glass
glass148.jpg,27.71525755,89.38306078,472.4610037,384,glass
glass149.jpg,0,61.61356263,511.0779926,209.572878,glass
